,month_normalized,time_idx,value,static,date
407,8,8,230.61,2,2014-02-12
408,8,13,246.29,2,2014-02-13
409,8,14,247.24,2,2014-02-14
410,8,15,248.87,2,2014-02-15
411,8,16,247.85,2,2014-02-16
412,8,17,245.59,2,2014-02-17
413,8,18,242.73,2,2014-02-18
414,8,19,240.56,2,2014-02-19
415,8,20,243.22,2,2014-02-20
416,8,21,245.98,2,2014-02-21
417,8,22,243.44,2,2014-02-22
418,8,23,240.32,2,2014-02-23
419,8,24,242.06,2,2014-02-24
420,8,25,244.52,2,2014-02-25
421,8,26,242.65,2,2014-02-26
422,8,27,249.32,2,2014-02-27
423,8,28,246.96,2,2014-02-28
424,8,29,237.14,2,2014-03-01
425,8,36,241.73,2,2014-03-02
426,8,37,241.06,2,2014-03-03
427,8,38,241.24,2,2014-03-04
428,8,39,249.05,2,2014-03-05
429,8,40,241.33,2,2014-03-06
430,8,41,241.86,2,2014-03-07
431,8,42,241.5,2,2014-03-08
432,8,43,238.99,2,2014-03-09
433,8,44,238.1,2,2014-03-10
434,8,45,248.24,2,2014-03-11
435,8,46,245.4,2,2014-03-12
436,8,47,246.26,2,2014-03-13
437,8,48,240.48,2,2014-03-14
438,8,49,246.11,2,2014-03-15
439,8,50,242.04,2,2014-03-16
440,8,51,249.09,2,2014-03-17
441,8,52,241.7,2,2014-03-18
442,8,53,240.72,2,2014-03-19
443,8,54,244.39,2,2014-03-20
444,9,0,241.34,2,2014-03-21
445,9,1,242.85,2,2014-03-22
446,9,2,243.56,2,2014-03-23
447,9,3,246.63,2,2014-03-24
448,9,4,241.38,2,2014-03-25
449,9,5,240.91,2,2014-03-26
450,9,6,239.69,2,2014-03-27
451,9,7,242.55,2,2014-03-28
452,9,8,248.13,2,2014-03-29
453,9,9,242.2,2,2014-03-30
454,9,10,243.75,2,2014-03-31
455,9,11,248.97,2,2014-04-01
456,9,12,248.61,2,2014-04-02
457,9,13,245.68,2,2014-04-03
458,9,14,240.81,2,2014-04-04
459,9,15,244.68,2,2014-04-05
460,9,16,246.81,2,2014-04-06
461,9,17,246.64,2,2014-04-07
462,9,18,248.24,2,2014-04-08
463,9,19,249.39,2,2014-04-09
464,9,20,243.25,2,2014-04-10
465,9,21,241.18,2,2014-04-11
466,9,22,248.2,2,2014-04-12
467,9,23,250.94,2,2014-04-13
468,9,24,242.81,2,2014-04-14
469,9,25,247.5,2,2014-04-15
470,9,26,241.36,2,2014-04-16
471,9,27,248.39,2,2014-04-17
472,9,28,247.2,2,2014-04-18
473,9,29,241.01,2,2014-04-19
474,9,30,240.74,2,2014-04-20
475,9,31,240.88,2,2014-04-21
476,9,32,240.16,2,2014-04-22
477,9,33,244.04,2,2014-04-23
478,9,34,246.7,2,2014-04-24
479,9,35,249.79,2,2014-04-25
480,9,36,238.83,2,2014-04-26
481,9,37,243.34,2,2014-04-27
482,9,38,241.44,2,2014-04-28
483,9,39,246.48,2,2014-04-29
484,9,40,242.81,2,2014-04-30
485,9,41,241.44,2,2014-05-01
486,9,42,236.17,2,2014-05-02
487,9,43,244.7,2,2014-05-03
488,9,44,247.82,2,2014-05-04
489,9,45,250.09,2,2014-05-05
490,9,46,244.13,2,2014-05-06
491,9,47,244.68,2,2014-05-07
492,9,48,240.07,2,2014-05-08
493,9,49,245.7,2,2014-05-09
494,9,50,250.5,2,2014-05-10
495,9,51,242.09,2,2014-05-11
496,9,52,243.95,2,2014-05-12
497,9,53,244.59,2,2014-05-13
498,9,54,247.88,2,2014-05-14
499,10,0,243.32,2,2014-05-15
500,10,1,249.39,2,2014-05-16
501,10,2,248.02,2,2014-05-17
502,10,3,250.52,2,2014-05-18
503,10,4,242.82,2,2014-05-19
504,10,5,243.27,2,2014-05-20
505,10,6,247.62,2,2014-05-21
506,10,7,247.76,2,2014-05-22
